,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
10051,2.0,4.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,1.0,4.0,2.0,3.0,7.0,4.0,2.0,8.0,2.0,18.0,8.0,1.0,1.0,0.0,60.0,-21.581666666666667,4.0,4.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,2.0,5.0,3.0,4.0,8.0,5.0,3.0,9.0,3.0,1.0,9.0,2.0,0.0
10052,4.0,4.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,2.0,5.0,3.0,4.0,8.0,5.0,3.0,9.0,3.0,1.0,9.0,2.0,69.0,74.0,54.0,-19.388333333333332,4.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,6.0,4.0,5.0,9.0,6.0,4.0,1.0,4.0,2.0,1.0,1.0,0.0
10053,4.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,6.0,4.0,5.0,9.0,6.0,4.0,1.0,4.0,2.0,1.0,1.0,37.0,74.0,39.0,-23.441666666666666,2.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,4.0,7.0,5.0,6.0,1.0,7.0,5.0,2.0,5.0,3.0,2.0,1.0,0.0
10054,2.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,4.0,7.0,5.0,6.0,1.0,7.0,5.0,2.0,5.0,3.0,2.0,1.0,31.0,74.0,47.0,-21.316666666666663,4.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,5.0,8.0,6.0,1.0,2.0,8.0,1.0,3.0,6.0,4.0,3.0,1.0,0.0
10055,4.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,5.0,8.0,6.0,1.0,2.0,8.0,1.0,3.0,6.0,4.0,3.0,1.0,37.0,57.0,47.0,-22.49166666666667,2.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,6.0,9.0,7.0,2.0,1.0,9.0,1.0,4.0,1.0,5.0,4.0,2.0,0.0
10056,2.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,6.0,9.0,7.0,2.0,1.0,9.0,1.0,4.0,1.0,5.0,4.0,2.0,17.0,12.0,14.0,-34.18333333333334,0.0,2.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,1.0,10.0,8.0,3.0,2.0,10.0,2.0,5.0,2.0,6.0,5.0,3.0,0.0
10057,0.0,2.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,1.0,10.0,8.0,3.0,2.0,10.0,2.0,5.0,2.0,6.0,5.0,3.0,1.0,68.0,47.0,-12.926666666666666,2.0,2.0,0.0,2.0,0.0,0.0,1.0,8.0,2.0,2.0,11.0,9.0,4.0,3.0,11.0,1.0,6.0,3.0,7.0,1.0,4.0,0.0
10058,2.0,2.0,0.0,2.0,0.0,0.0,1.0,8.0,2.0,2.0,11.0,9.0,4.0,3.0,11.0,1.0,6.0,3.0,7.0,1.0,4.0,8.0,58.0,9.0,-22.33833333333333,2.0,4.0,0.0,4.0,0.0,0.0,2.0,1.0,3.0,3.0,12.0,10.0,5.0,4.0,12.0,2.0,7.0,1.0,8.0,2.0,5.0,0.0
10059,2.0,4.0,0.0,4.0,0.0,0.0,2.0,1.0,3.0,3.0,12.0,10.0,5.0,4.0,12.0,2.0,7.0,1.0,8.0,2.0,5.0,1.0,44.0,47.0,-15.451666666666666,4.0,4.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,4.0,13.0,11.0,6.0,5.0,1.0,1.0,8.0,2.0,9.0,3.0,6.0,0.0
10060,4.0,4.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,4.0,13.0,11.0,6.0,5.0,1.0,1.0,8.0,2.0,9.0,3.0,6.0,1.0,37.0,54.0,-19.083333333333332,6.0,4.0,0.0,2.0,0.0,0.0,1.0,3.0,5.0,5.0,14.0,12.0,7.0,1.0,2.0,2.0,1.0,3.0,10.0,4.0,7.0,0.0
